,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
147,PTC,Punggol,Punggol LRT,Grey,29/01/2005,LRT,70,PUNGGOL CENTRAL,PUNGGOL LRT STATION (PTC),70 PUNGGOL CENTRAL PUNGGOL LRT STATION (PTC) SINGAPORE 828868,828868,35689.13899,43004.92022,1.405194701,103.9024119,PUNGGOL,NORTH-EAST REGION
148,NE18,Punggol Coast,North East Line,Purple,10/12/2024,MRT,101,NEW PUNGGOL ROAD,PUNGGOL COAST MRT STATION (NE18),101 NEW PUNGGOL ROAD PUNGGOL COAST MRT STATION (NE18) SINGAPORE 828604,828604,36552.07067,44081.13346,1.414927334,103.9101664,PUNGGOL,NORTH-EAST REGION
149,PW3,Punggol Point,Punggol LRT,Grey,29/12/2016,LRT,81,PUNGGOL WAY,PUNGGOL POINT LRT STATION (PW3),81 PUNGGOL WAY PUNGGOL POINT LRT STATION (PW3) SINGAPORE 828644,828644,36160.82747,44293.55608,1.41684852,103.9066508,PUNGGOL,NORTH-EAST REGION
150,EW19,Queenstown,East-West Line,Green,12/03/1988,MRT,301,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION (EW19),301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION (EW19) SINGAPORE 149729,149729,24968.26735,30770.39111,1.294550852,103.8060772,QUEENSTOWN,CENTRAL REGION
151,NS26,Raffles Place,North-South Line ,Red,12/12/1987,MRT,5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,048618,30019.18053,29617.61258,1.28412561,103.8514617,DOWNTOWN CORE,CENTRAL REGION
152,EW14,Raffles Place,East-West Line,Green,12/12/1987,MRT,5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,048618,30019.18053,29617.61258,1.28412561,103.8514617,DOWNTOWN CORE,CENTRAL REGION
153,SE5,Ranggung,Sengkang LRT,Grey,18/01/2003,LRT,30,SENGKANG EAST AVENUE,RANGGUNG LRT STATION (SE5),30 SENGKANG EAST AVENUE RANGGUNG LRT STATION (SE5) SINGAPORE 545046,545046,35108.59401,40687.12534,1.384233559,103.8971947,SENGKANG,NORTH-EAST REGION
154,EW18,Redhill,East-West Line,Green,12/03/1988,MRT,920,TIONG BAHRU ROAD,REDHILL MRT STATION (EW18),920 TIONG BAHRU ROAD REDHILL MRT STATION (EW18) SINGAPORE 158792,158792,26155.0535,30226.75978,1.289634534,103.816741,BUKIT MERAH,CENTRAL REGION
155,SW8,Renjong,Sengkang LRT,Grey,29/01/2005,LRT,60,SENGKANG EAST AVENUE,RENJONG LRT STATION (SW8),60 SENGKANG EAST AVENUE RENJONG LRT STATION (SW8) SINGAPORE 545049,545049,34377.05695,40959.89853,1.38670059,103.8906213,SENGKANG,NORTH-EAST REGION
156,PE4,Riviera,Punggol LRT,Grey,29/01/2005,LRT,40,PUNGGOL EAST,RIVIERA LRT STATION (PE4),40 PUNGGOL EAST RIVIERA LRT STATION (PE4) SINGAPORE 828852,828852,37220.19903,41824.59056,1.394519785,103.9161694,PUNGGOL,NORTH-EAST REGION
