YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-09,WEEKDAY,16,TRAIN,NS28,2285,2944
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,NS28,4367,2366
2023-09,WEEKDAY,9,TRAIN,BP5,2360,1673
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,BP5,1255,839
2023-09,WEEKDAY,0,TRAIN,NE12/CC13,499,4158
2023-09,WEEKENDS/HOLIDAY,0,TRAIN,NE12/CC13,368,2831
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,EW21/CC22,10518,8950
2023-09,WEEKDAY,19,TRAIN,EW21/CC22,52523,33786
2023-09,WEEKDAY,15,TRAIN,DT33,9652,12551
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,DT33,7375,7147
2023-09,WEEKDAY,9,TRAIN,NS19,51200,37700
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,NS19,20313,14670
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,NE15,7344,3869
2023-09,WEEKDAY,7,TRAIN,NE15,69817,11987
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,EW33,540,138
2023-09,WEEKDAY,5,TRAIN,EW33,3361,707
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,TE4,2798,2653
2023-09,WEEKDAY,19,TRAIN,TE4,6447,7503
2023-09,WEEKDAY,5,TRAIN,DT28,1809,377
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,DT28,453,46
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,EW15,1944,7048
2023-09,WEEKDAY,7,TRAIN,EW15,9904,65397
2023-09,WEEKDAY,12,TRAIN,PE5,5998,3449
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,PE5,3861,2403
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,TE3,280,2724
2023-09,WEEKDAY,23,TRAIN,TE3,445,5203
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,TE14/NS22,9478,4089
2023-09,WEEKDAY,23,TRAIN,TE14/NS22,16594,5172
2023-09,WEEKDAY,14,TRAIN,NE4/DT19,61160,51840
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,NE4/DT19,41123,37529
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,SW8,448,1111
2023-09,WEEKDAY,20,TRAIN,SW8,1095,2481
2023-09,WEEKDAY,5,TRAIN,DT3,884,26
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,DT3,221,8
2023-09,WEEKDAY,5,TRAIN,EW16/NE3/TE17,2063,251
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,EW16/NE3/TE17,433,41
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,DT2,1478,539
2023-09,WEEKDAY,9,TRAIN,DT2,3542,2985
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,EW16/NE3/TE17,14756,10142
2023-09,WEEKDAY,16,TRAIN,EW16/NE3/TE17,51174,18287
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,EW31,2466,2299
2023-09,WEEKDAY,19,TRAIN,EW31,10778,3784
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,NE5,7748,10437
2023-09,WEEKDAY,18,TRAIN,NE5,52321,25246
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,NS15,2889,6125
2023-09,WEEKDAY,22,TRAIN,NS15,9572,12739
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,DT27,1747,942
2023-09,WEEKDAY,6,TRAIN,DT27,6265,5886
2023-09,WEEKDAY,17,TRAIN,BP2,2950,4450
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,BP2,1490,1361
2023-09,WEEKDAY,17,TRAIN,PW3,2077,1818
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,PW3,942,602
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,DT23,1023,1657
2023-09,WEEKDAY,9,TRAIN,DT23,4140,16944
2023-09,WEEKDAY,5,TRAIN,CG2,5878,830
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,CG2,3476,385
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,DT25,932,2435
2023-09,WEEKDAY,21,TRAIN,DT25,2440,5321
2023-09,WEEKDAY,17,TRAIN,NE4/DT19,85365,67885
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,NE4/DT19,41903,40996
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,SW8,1015,446
2023-09,WEEKDAY,8,TRAIN,SW8,3845,2713
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,TE16,1843,3600
2023-09,WEEKDAY,21,TRAIN,TE16,4019,6922
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,CC26,2880,2084
2023-09,WEEKDAY,17,TRAIN,CC26,23764,4763
2023-09,WEEKDAY,11,TRAIN,CC12,6369,2872
2023-09,WEEKENDS/HOLIDAY,11,TRAIN,CC12,3750,2238
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,CG1/DT35,7552,3689
2023-09,WEEKDAY,20,TRAIN,CG1/DT35,25093,5751
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,NS7,14464,16273
2023-09,WEEKDAY,8,TRAIN,NS7,38027,42063
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,NE17/PTC,27575,31345
2023-09,WEEKDAY,18,TRAIN,NE17/PTC,53583,121997
2023-09,WEEKDAY,11,TRAIN,EW31,1437,902
